시도,매장수,인구,10만명당_매장수
전북특별자치도,32,1723497,1.8566902060171848
서울특별시,114,9299701,1.2258458632164626
충청북도,18,1596749,1.1272905134119389
울산광역시,12,1091281,1.0996251194696876
제주특별자치도,7,663995,1.054224805909683
세종특별자치시,4,391477,1.0217713939771687
충청남도,21,2136204,0.9830521804097362
대전광역시,14,1440550,0.9718510291208219
강원특별자치도,14,1507634,0.9286073410390056
광주광역시,11,1390658,0.7909924654372247
부산광역시,25,3239711,0.7716737696664919
대구광역시,17,2352249,0.7227126039802759
전라남도,12,1778171,0.6748507314538366
경기도,92,13736642,0.669741556924902
경상남도,20,3205787,0.623871766901544
인천광역시,19,3053308,0.6222759053459396
경상북도,14,2503544,0.559207267777199
