지역,매장명,현황,주소,매장서비스,전화번호,주소_전처리,위도,경도,검색방식,시도
충북 음성군,국립소방병원점,영업중,충청북도 음성군 맹동면 용두4길 19 (국립소방병원) /두성리 1531,주차,042-882-0240,충청북도 음성군 맹동면 용두4길 19 /두성리 1531,36.9043593428213,127.552478563452,주소검색,충청북도
경기 용인시 수지구,용인수지구청점,영업중,"경기도 용인시 수지구 풍덕천로 119 (수지로얄스포츠센타), 109호 .",주차,031-266-3011,경기도 용인시 수지구 풍덕천로 119,37.3230649014559,127.094907152549,주소검색,경기도
서울 동작구,이수점,영업중,서울특별시 동작구 동작대로25길 16 (사당동) 1층~2층,,02-3478-9029,서울특별시 동작구 동작대로25길 16 ~,37.4863323127883,126.980927405478,주소검색,서울특별시
충남 아산시,아산삼성스토어점,영업중,"충청남도 아산시 모종로 9-17, 삼성스토어 1층 .",주차,041-543-1233,충청남도 아산시 모종로 9-17,36.7853907023444,127.017130845709,주소검색,충청남도
부산 해운대구,부산해운대엘시티점,영업중,"부산 해운대구 달맞이길 30,포디움동  2층 2042~2043호",테라스/주차,051-746-3547,부산 해운대구 달맞이길 30,35.1613327099223,129.168013841974,주소검색,부산광역시
경기 용인시 기흥구,용인동백점,영업중,"경기도 용인시 기흥구 동백중앙로 283 (골드프라자 D동),  203호,204호",주차,.,경기도 용인시 기흥구 동백중앙로 283,37.278013079108,127.153487824004,주소검색,경기도
제주 제주시,제주노형점,영업중,제주특별자치도 제주시 노형13길 9 노형동 3791-11,주차,070-8900-1099,제주특별자치도 제주시 노형13길 9 노형동 3791-11,33.482996442356,126.478941486049,주소검색,제주특별자치도
전남 나주시,나주빛가람혁신도시점,영업중,전라남도 나주시 배멧3길 5-4 .,주차,061-334-5466,전라남도 나주시 배멧3길 5-4,35.0189743523948,126.785705077902,주소검색,전라남도
인천 계양구,아라마루휴게소점,영업중,인천광역시 계양구 아라로 228 (경인아라뱃길아라마루) .,주차,.,인천광역시 계양구 아라로 228,37.5726393040155,126.701390601791,주소검색,인천광역시
전북 군산시,(하)군산휴게소점,영업중,전북특별자치도 군산시 성산면 서해안고속도로 141 군산휴게소 하행 1F HOLLYS,주차,.,전북특별자치도 군산시 성산면 서해안고속도로 141 군산휴게소 하행 HOLLYS,35.9802384802234,126.829931443409,주소검색,전북특별자치도
충북 음성군,(하)금왕휴게소점,영업중,충청북도 음성군 금왕읍 평택제천고속도로 70 .,주차,.,충청북도 음성군 금왕읍 평택제천고속도로 70,36.968980701494,127.590712287356,주소검색,충청북도
충북 음성군,(상)금왕휴게소점,영업중,충청북도 음성군 금왕읍 평택제천고속도로 69 .,주차,.,충청북도 음성군 금왕읍 평택제천고속도로 69,36.9705174475064,127.589577244807,주소검색,충청북도
경남 창원시 진해구,진해경화점,영업중,경상남도 창원시 진해구 조천북로 76 (경화동) 1층,주차,055-547-9906,경상남도 창원시 진해구 조천북로 76,35.160346696035,128.680862603975,주소검색,경상남도
충북 옥천군,금강휴게소점,영업중,충청북도 옥천군 동이면 금강로 596 1층,주차,.,충청북도 옥천군 동이면 금강로 596,36.2794502792592,127.673725362476,주소검색,충청북도
인천 연수구,인천항국제여객터미널점,영업중,인천광역시 연수구 국제항만대로326번길 57 (인천항국제여객터미널 204호) /송도동 300-3,주차,070-4139-9947,인천광역시 연수구 국제항만대로326번길 57 /송도동 300-3,37.4240553040767,126.605574220007,주소검색,인천광역시
인천 중구,인천공항T1 4F점,영업중,"인천광역시 중구 공항로 272 (운서동, 인천공항) T1 4F",,032-743-3718,인천광역시 중구 공항로 272 T1,37.458350533174,126.42769952089,주소검색,인천광역시
서울 동대문구,경희대푸른솔문화관점,영업중,서울특별시 동대문구 경희대로 26 경희대학교 푸른솔문화관 1층,주차,.,서울특별시 동대문구 경희대로 26 경희대학교 푸른솔문화관,37.5939491407769,127.054890960564,주소검색,서울특별시
서울 동대문구,경희대간호이과대점,영업중,서울 동대문구 경희대로 26 경희대학교 간호이과대 지하2층,주차,.,서울 동대문구 경희대로 26 경희대학교 간호이과대,37.5939491407769,127.054890960564,주소검색,서울특별시
충북 보은군,속리산휴게소점,영업중,충청북도 보은군 마로면 적암길 56-18 /적암리 181-3,주차,.,충청북도 보은군 마로면 적암길 56-18 /적암리 181-3,36.4477116230233,127.869016872118,주소검색,충청북도
