"행정구역(시군구)별","항목","단위","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"전국","총인구수[명]","명","46684069","46991171","47335678","47732558","48021543","48229948","48386823","48583805","48782274","48991779","49268928","49540367","49773145","50515666","50734284","50948272","51141463","51327916","51529338","51696216","51778544","51826059","51849861","51829023","51638809","51439038","51325329","51217221",
"전국","남자인구수[명]","명","23445473","23594034","23764463","23962088","24102463","24200192","24270143","24363083","24456234","24557004","24691249","24822897","24929939","25310385","25406934","25504060","25588336","25669296","25758186","25827594","25855919","25866129","25864816","25841029","25746684","25636951","25565736","25498324",
"전국","여자인구수[명]","명","23238596","23397137","23571215","23770470","23919080","24029756","24116680","24220722","24326040","24434775","24577679","24717470","24843206","25205281","25327350","25444212","25553127","25658620","25771152","25868622","25922625","25959930","25985045","25987994","25892125","25802087","25759593","25718897",
"서울특별시","총인구수[명]","명","10336134","10270506","10264260","10311314","10263336","10207295","10174086","10173162","10167344","10181166","10192710","10200827","10208302","10312545","10249679","10195318","10143645","10103233","10022181","9930616","9857426","9765623","9729107","9668465","9509458","9428372","9386034","9331828",
"서울특별시","남자인구수[명]","명","5186530","5146825","5141141","5166605","5141741","5108964","5084908","5074686","5062492","5062107","5063188","5061809","5059269","5111259","5073899","5041336","5007869","4979768","4930943","4876789","4830206","4773899","4744059","4701723","4618040","4570048","4540031","4505355",
"서울특별시","여자인구수[명]","명","5149604","5123681","5123119","5144709","5121595","5098331","5089178","5098476","5104852","5119059","5129522","5139018","5149033","5201286","5175780","5153982","5135776","5123465","5091238","5053827","5027220","4991724","4985048","4966742","4891418","4858324","4846003","4826473",
"종로구","총인구수[명]","명","194696","188732","186590","186378","184225","181231","177519","174372","169315","166793","165846","170705","168603","170578","168382","165207","160070","156993","154986","152737","154770","153065","151290","149384","144683","141379","139417","138336",
"종로구","남자인구수[명]","명","97646","94646","93539","93549","92657","91151","89234","87731","84981","83634","83104","85398","84257","85182","83931","82274","79519","77621","76548","75201","75967","74825","73746","72635","70183","68395","67306","66570",
"종로구","여자인구수[명]","명","97050","94086","93051","92829","91568","90080","88285","86641","84334","83159","82742","85307","84346","85396","84451","82933","80551","79372","78438","77536","78803","78240","77544","76749","74500","72984","72111","71766",
"중구","총인구수[명]","명","126892","122500","126254","141010","143016","138134","134548","131971","130027","130649","130044","130362","129465","132822","133193","133360","130465","128065","125733","125249","125709","125725","126171","125240","122499","120437","121312","120544",
